"propertyId","rentPrice","area","bathrooms","rooms","garages","latitude","longitude","address","suites","rentPeriodId","condominiumPrice","iptu"
"53863989","530",NA,"3","3","2","-27.411917","-48.424779","AV LUIZ B PIAZZA","1","DAY",NA,NA
"53914011","520",NA,"1","1","1","-27.396226","-48.431941","Rua Deputado Fernando Viégas","0","DAY",NA,NA
"53864047","420",NA,"2","2","1","-27.428426","-48.449867","Rua Madre Maria Vilac","1","DAY",NA,NA
"53881698","270",NA,"1","1","1","-27.421714","-48.432125","R LEONEL PEREIRA","0","DAY",NA,NA
"53863998","450",NA,"2","2","2","-27.421938","-48.431497","R LEONEL PEREIRA","2","DAY",NA,NA
"53881746","420",NA,"2","2","1","-27.421714","-48.432125","R LEONEL PEREIRA","1","DAY",NA,NA
"53864035","390",NA,"2","2","1","-27.421643","-48.432341","R LEONEL PEREIRA","1","DAY",NA,NA
"54956221","270",NA,"1","1","1","-27.432242","-48.458217","Rua Mario Lacombe","0","DAY",NA,NA
"66354279","250",NA,"1","1","1","-48.401774","-27.42329","Rua das Gaivotas","0","DAY",NA,NA
"66354019","250",NA,"1","1","1","-48.401774","-27.42329","Rua das Gaivotas","0","DAY",NA,NA
"66354013","210",NA,"1","1","0","-48.401774","-27.42329","Rua das Gaivotas","1","DAY",NA,NA
"66353986","210",NA,"1","1","1","-48.401774","-27.42329","Rua das Gaivotas","0","DAY",NA,NA
"66353981","210",NA,"1","1","1","-48.401774","-27.42329","Rua das Gaivotas","0","DAY",NA,NA
"63480061","800","131","3","3","1","-27.425041","-48.403869","Rua Recanto do Sol","1","DAY",NA,NA
"66354509","706",NA,"2","3","2","-48.405042","-27.422104","Rua Lazaro de Oliveira Souza","1","DAY",NA,NA
"66354304","590",NA,"2","3","1","-48.405042","-27.422104","Rua Lazaro de Oliveira Souza","1","DAY",NA,NA
"66354588","590",NA,"0","3","0","-48.405473","-27.420612","Rua Morro das Feiticeiras","1","DAY",NA,NA
"66354460","510",NA,"1","2","1","-48.40589","-27.421852","Rua Ilha das Galés","0","DAY",NA,NA
"57695478","450","1","1","1","1","-27.242339","-50.218856","Armando Calil Bulos, 6585","0","DAY","1","1"
"55071528","990","100","2","2","1","-27.446593","-48.383875","Rodovia Armando Calil Bulos, 6553","1","YEA","103","1"
"56873526","450","1","2","2","1","-27.242339","-50.218856","Armando Calil Bulos, 6585","1","DAY","1","1"
"64684615","900","40","1","2","0","-27.5859781","-48.5237246","RUA FRANCISCO ANASTACIO PIRES FUNDOS","0","MON","40",NA
"64684583","1300","89","2","3","1","-27.5944444","-48.5752778","RUA CORONEL PEDRO DEMORO","1","MON","707",NA
"64684096","1600","109","2","3","2","-27.5969039","-48.5494544","Rua José Licínio Lopes","1","MON","466",NA
"59606438","1100","90","2","3","1","-27.5944444","-48.5752778","Rua José Bonifácio","1","MON","535","66"
"64292355","800","40","1","1","0","-27.5932366","-48.5437358","Rua Felipe Schmidt","1","MON","300",NA
"58182101","1400","75","1","2","1","-27.5932366","-48.5437358","Rua Desembargador Arno Hoeschl","0","MON","630","132"
"66394675","1700","70","0","2","1","-27.5859781","-48.5237246","Rua Professora Maria Flora Pausewang, 109","0","MON","370",NA
"62185138","500","50","1","2","0","-27.5944444","-48.5752778","Rua Santos Saraíva","0","MON","90","62"
"64420820","550","25","1","1","1","-27.5944444","-48.5752778","Rua Poeta Francisco Machado de Souza","0","MON","225","37"
"66337022","1000","50","1","1","0","-27.586334","-48.499412",NA,"0","MON","200","40"
"45824193","4500","132.32","4","3","2","-27.589599","-48.5442","Rua Frei Evaristo","2","MON","860","234"
"63351664","1000","55","1","2","1","-27.5952778","-48.5961111",NA,"0","MON","425",NA
"65800853","1125","70","1","2","0","-27.588996","-48.551496","Othon Gama D&#039;eça","0","MON","470",NA
"53863967","280",NA,"1","1","1","-27.421638","-48.4321","R LEONEL PEREIRA","0","DAY",NA,NA
"53881594","370",NA,"2","2","1","-27.420633","-48.430579","Rua Olegário Pereira","0","DAY",NA,NA
